Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling
Álvaro Santamaría,67298126.0,13.0,10.5,15.0,10.5,15.0,11.0,9.166666666666666,11.75,10.5,14.0,10.25,12.125,10.8,9.333333333333334,14.0,11.333333333333334,11.5,10.75,15.0,10.5,5.0
Óscar Clemente,67259874.0,9.0,13.166666666666666,8.0,13.5,14.25,13.0,12.833333333333334,13.75,13.5,12.0,12.75,12.375,13.2,12.0,12.75,13.333333333333334,11.5,13.75,10.75,11.833333333333334,10.0
Rodrigo Zalazar,67271371.0,10.5,11.166666666666666,8.0,11.5,13.5,11.5,13.0,11.5,11.5,12.25,12.5,12.5,11.5,11.833333333333334,11.25,11.166666666666666,10.5,13.5,10.75,13.5,6.0
Nils Mortimer,67265795.0,10.0,10.5,11.0,10.75,12.75,13.666666666666666,10.833333333333334,9.25,10.75,14.5,12.75,9.875,11.8,8.166666666666666,14.625,10.666666666666666,14.5,12.0,12.0,11.666666666666666,4.0
Michel Vlap,215665.0,14.0,13.5,11.0,12.0,12.75,12.0,11.833333333333334,12.75,12.0,11.0,12.25,13.625,12.8,9.333333333333334,10.75,12.666666666666666,13.5,13.25,10.75,11.833333333333334,5.0
John McGinn,61043070.0,9.5,13.833333333333334,6.0,12.0,15.0,13.166666666666666,14.666666666666666,13.5,12.0,14.75,12.0,14.5,13.7,11.833333333333334,12.0,13.166666666666666,13.5,16.0,13.25,14.5,13.0
Patric,67100019.0,10.0,16.5,13.0,13.25,13.0,14.0,10.833333333333334,13.75,13.25,10.5,13.25,16.75,14.6,13.5,8.5,15.333333333333334,14.5,12.0,10.75,5.333333333333333,15.0
Sergi Rosanas,67265793.0,6.0,12.0,9.0,12.5,11.5,11.833333333333334,11.666666666666666,12.25,12.5,11.0,11.75,13.25,11.7,11.666666666666666,14.125,12.5,10.0,11.25,11.75,8.833333333333334,13.0
Pep Chavarría,67277695.0,10.0,11.666666666666666,8.0,12.5,12.5,10.0,11.666666666666666,11.5,12.5,11.0,14.0,9.75,10.8,12.333333333333334,14.0,11.333333333333334,12.0,11.5,10.5,5.0,13.0
Fran López,67279609.0,5.0,10.333333333333334,15.0,10.5,16.25,14.0,12.5,12.0,10.5,15.75,9.25,11.25,12.0,9.5,12.25,12.333333333333334,11.0,14.0,10.5,15.333333333333334,6.5
Lluís Recasens,67295940.0,14.0,8.0,9.0,11.0,9.5,10.666666666666666,8.0,11.5,11.0,8.5,11.5,8.75,9.4,12.666666666666666,11.75,10.666666666666666,9.0,9.0,9.5,7.0,14.0
Miguel,2000192899.0,9.5,13.833333333333334,7.5,9.0,14.5,13.333333333333334,12.333333333333334,14.75,9.0,14.0,9.5,10.25,14.1,7.833333333333333,15.75,13.5,14.0,15.0,12.75,9.5,5.0
Gonzalo Maroni,14137723.0,6.0,12.5,6.0,10.75,13.0,11.666666666666666,13.0,11.25,10.75,13.5,12.0,9.875,12.1,8.166666666666666,11.875,11.5,13.0,13.5,10.75,12.0,5.5
Dominik Kruzliak,63026929.0,13.0,10.666666666666666,13.0,12.5,8.25,10.333333333333334,9.5,15.5,12.5,7.75,12.75,14.0,10.0,12.666666666666666,9.0,14.666666666666666,7.0,12.0,10.5,10.666666666666666,14.0
Sebastián Cabrera,75036622.0,9.0,12.0,10.0,11.5,13.75,13.0,13.833333333333334,13.5,11.5,11.75,11.25,14.75,12.4,11.666666666666666,13.25,13.333333333333334,9.0,14.0,12.5,10.666666666666666,12.0
Amarildo Gojani,2000505067.0,8.0,12.666666666666666,10.0,9.5,16.5,14.0,13.333333333333334,11.5,9.5,15.0,9.5,10.25,13.2,8.666666666666666,15.25,12.333333333333334,17.0,15.0,14.0,14.333333333333334,4.0
Gianluca Bellucci,2000508898.0,11.0,11.0,6.0,11.0,15.0,11.333333333333334,14.0,11.0,11.0,15.0,9.0,11.75,10.8,10.333333333333334,12.75,11.666666666666666,13.0,15.0,12.5,12.666666666666666,10.0
Cheick Ibra Koné,2000631747.0,6.0,10.833333333333334,7.0,7.0,13.5,13.166666666666666,11.0,12.0,7.0,15.25,9.5,8.125,11.9,6.333333333333333,11.75,12.166666666666666,11.5,12.25,6.0,9.666666666666666,7.0
